lensid,MJD,filter,RA,RA_err,DEC,DEC_err,x,x_com_err,y,y_com_err,flux,flux_err,size,size_err,e1,e2,psf_sigma,sky
13152642,59823.286523,g,0,0,0,0,-0.00586416842343,0,0.0137580883767,0,0.934753366979,0.035493464742879,1.19033135841,0,0.0184447206557,0.0582332424819,1.093153,24.377204
28927224,59823.286523,g,0,0,0,0,0.445095229944,0,0.135682770332,0,2.37963249118,0.035493464742879,1.16724386426,0,0.0241601355374,-0.0131801944226,1.093153,24.377204
24573293,59823.286523,g,0,0,0,0,0.0239504376756,0,-0.234304218701,0,1.43351812601,0.035493464742879,1.24398917674,0,-0.153268441558,0.0369749031961,1.093153,24.377204
120117,59823.286523,g,0,0,0,0,0.0960602473805,0,0.107211871677,0,207.515412779,0.035493464742879,1.1636761965,0,0.00321620726027,-0.0122605087236,1.093153,24.377204
30737083,59823.286523,g,0,0,0,0,-0.132446298042,0,0.00319961531511,0,16.6510221305,0.035493464742879,1.32584798604,0,-0.162373900414,0.217602491379,1.093153,24.377204
35762883,59823.286523,g,0,0,0,0,0.0144598589138,0,0.34848831823,0,6.96188327458,0.035493464742879,1.16194887425,0,-0.0183125976473,-0.0172898788005,1.093153,24.377204
409363,59823.286523,g,0,0,0,0,-0.0629463857044,0,0.00937314043901,0,106.62538729,0.035493464742879,1.32330846285,0,0.149102136493,0.223201617599,1.093153,24.377204
19707312,59823.286523,g,0,0,0,0,0.615790369115,0,-0.256853339968,0,3.36026857378,0.035493464742879,1.191982708,0,0.0321918018162,-0.0686353668571,1.093153,24.377204
4786161,59823.286523,g,0,0,0,0,-0.0365582354426,0,-0.0859417177647,0,6.30822656995,0.035493464742879,1.18451947563,0,-0.058512467891,0.033340152353,1.093153,24.377204
8238505,59823.286523,g,0,0,0,0,0.29674971225,0,-0.0695930115735,0,7.96732927753,0.035493464742879,1.26317388317,0,-0.00717019522563,0.0290213413537,1.093153,24.377204
49161272,59823.286523,g,0,0,0,0,0.190838003696,0,-0.560053328397,0,11.2313266005,0.035493464742879,1.17066611495,0,-0.0425731725991,-0.0216049291193,1.093153,24.377204
