obsHistID,expMJD,filter,FWHMeff,fiveSigmaDepth
2224712,62872.196145,z,1.023231,22.071699
2229616,62882.130106,r,0.980342,24.064312
2229640,62882.141238,r,1.005575,24.06907
2232352,62887.037739,z,0.660994,22.268533
2232392,62887.055943,z,0.66925,23.434948
2237244,62894.060626,g,0.873273,24.454065
2237284,62894.08098,g,0.901246,24.403529
2241023,62906.096558,y,0.812203,21.664428
2242092,62908.059144,i,0.778341,23.399345
2242127,62908.075168,i,0.808482,23.286973
2245151,62912.023881,y,0.629399,21.840556
2248373,62918.056042,u,0.926852,23.229305
2249225,62919.074649,r,0.926153,24.113694
2261998,62937.013922,y,0.808664,21.518021
2263722,62938.998772,y,0.855944,21.468079
2268032,62944.999391,y,0.6523,21.741201
2269795,62946.995418,y,0.655605,21.733507
2343949,63066.400201,r,1.067583,24.048878
2343980,63066.414937,r,1.032323,24.115065
2347696,63070.375935,u,0.925292,23.226948
2348731,63071.38388,i,0.89439,23.574956
2348757,63071.396253,i,0.868597,23.631595
2351761,63077.369962,r,0.825395,24.262299
2351799,63077.387585,r,0.793338,24.406028
2357446,63083.34796,y,1.05262,21.399147
2359388,63085.319661,y,1.013796,21.412068
2361016,63088.381535,r,0.670717,24.308678
2361054,63088.400879,r,0.6543,24.357236
2362608,63092.316389,u,0.915059,23.241244
2363956,63094.344379,g,0.913836,24.600979
2363995,63094.362537,g,0.885388,24.666797
2369402,63107.311601,i,1.355744,22.783676
2369429,63107.323892,i,1.326963,22.861047
2369463,63107.339219,i,1.297928,22.944875
2369490,63107.351548,i,1.279546,22.988012
2371542,63110.257393,y,1.131417,21.301221
2373551,63112.285067,y,0.896101,21.588633
2376936,63117.243226,r,0.947945,23.87279
2379304,63121.243813,r,1.026941,24.073926
2379631,63121.398615,z,0.825773,22.026715
2382010,63124.220578,r,0.968407,24.102271
2382048,63124.238497,r,0.920664,24.20233
2382917,63125.2227,u,1.094266,23.025557
2385561,63131.188836,r,1.172736,23.836153
2386482,63132.198776,z,0.775812,23.104952
2387358,63133.184178,z,0.988472,22.669081
2387388,63133.197863,z,0.945298,22.779043
2387421,63133.212949,z,0.906089,22.885182
2387445,63133.22411,z,0.881741,22.947697
2389580,63137.175997,y,0.845182,21.607157
2391896,63142.323564,z,0.811481,22.446207
2391944,63142.348165,z,0.820648,22.434794
2393626,63144.338664,i,0.92887,23.037989
2393660,63144.355397,i,0.940919,23.014601
2395765,63147.154541,r,0.971934,24.089166
2395808,63147.174343,r,0.917815,24.202617
2396840,63148.261044,g,0.964054,24.312505
2396872,63148.278199,g,0.956479,24.313851
2400857,63153.174075,u,1.261992,22.978941
2402419,63155.135626,u,1.350214,22.773146
2403483,63156.254617,i,0.77581,23.848355
2403532,63156.280632,i,0.773812,23.853335
2404056,63157.14507,g,1.454499,24.032664
2404114,63157.173664,g,1.362849,24.169551
2405824,63159.213534,i,0.81242,23.780451
2405868,63159.234024,i,0.800057,23.810075
2408020,63162.106015,z,0.924894,22.74093
2408050,63162.120082,z,0.8839,22.835895
2408884,63163.130403,y,0.961133,21.498754
2410561,63165.144328,y,1.005372,21.466802
2411313,63166.11351,y,0.889446,21.573572
